symbol,name,asset_class,theme,tickertape_known
AAPL,Apple Inc,STOCK,mega_cap_quality,1
MSFT,Microsoft Corporation,STOCK,mega_cap_quality,1
GOOG,Alphabet Inc Class C,STOCK,mega_cap_quality,1
GOOGL,Alphabet Inc Class A,STOCK,mega_cap_quality,0
AMZN,Amazon.com Inc,STOCK,mega_cap_quality,0
NVDA,NVIDIA Corporation,STOCK,ai_semiconductors,0
META,Meta Platforms Inc,STOCK,mega_cap_quality,1
TSLA,Tesla Inc,STOCK,disruptive_growth,0
BRK-B,Berkshire Hathaway Inc Class B,STOCK,quality_compounder,0
JPM,JPMorgan Chase & Co,STOCK,financials_quality,0
V,Visa Inc,STOCK,payments_quality,0
MA,Mastercard Inc,STOCK,payments_quality,0
UNH,UnitedHealth Group Inc,STOCK,healthcare_quality,0
JNJ,Johnson & Johnson,STOCK,defensive_quality,0
PG,Procter & Gamble Co,STOCK,defensive_quality,0
COST,Costco Wholesale Corp,STOCK,consumer_quality,0
HD,Home Depot Inc,STOCK,consumer_quality,0
XOM,Exxon Mobil Corp,STOCK,energy_cashflow,0
LLY,Eli Lilly and Co,STOCK,healthcare_growth,0
AVGO,Broadcom Inc,STOCK,ai_semiconductors,0
NFLX,Netflix Inc,STOCK,communication_growth,1
ADBE,Adobe Inc,STOCK,software_quality,0
CRM,Salesforce Inc,STOCK,software_quality,0
AMD,Advanced Micro Devices Inc,STOCK,ai_semiconductors,0
INTC,Intel Corporation,STOCK,semiconductor_turnaround,0
T,AT&T Inc,STOCK,dividend_value,1
IVV,iShares Core S&P 500 ETF,ETF,broad_us_large_cap,1
VTI,Vanguard Total Stock Market ETF,ETF,broad_us_total_market,1
VOO,Vanguard S&P 500 ETF,ETF,broad_us_large_cap,0
SPY,SPDR S&P 500 ETF Trust,ETF,broad_us_large_cap,0
QQQ,Invesco QQQ Trust,ETF,nasdaq_100_growth,0
SCHD,Schwab US Dividend Equity ETF,ETF,dividend_quality,0
VIG,Vanguard Dividend Appreciation ETF,ETF,dividend_quality,0
VEA,Vanguard FTSE Developed Markets ETF,ETF,international_developed,0
VWO,Vanguard FTSE Emerging Markets ETF,ETF,emerging_markets,0
AGG,iShares Core US Aggregate Bond ETF,ETF,bonds_core,0
BND,Vanguard Total Bond Market ETF,ETF,bonds_core,0
TLT,iShares 20+ Year Treasury Bond ETF,ETF,long_treasury,0
GLD,SPDR Gold Shares,ETF,gold_hedge,0
SLV,iShares Silver Trust,ETF,silver_hedge,0
XLK,Technology Select Sector SPDR Fund,ETF,us_technology,0
SMH,VanEck Semiconductor ETF,ETF,semiconductors,0
